year,month,day,hour,season,is_weekend,station_type,temperature_C,humidity_pct,wind_speed_kmh,rainfall_mm,traffic_density,vehicles_per_km2,industrial_proximity,population_density,green_cover_pct,PM2_5,PM10,NO2,SO2,CO,O3,Benzene,Toluene,dew_point_C,atm_pressure_hpa,visibility_km,wind_direction_deg,solar_radiation_wm2,cloud_cover_pct,road_dust_index,construction_activity_index,uv_index,pollen_count,mixing_layer_height_m,boundary_layer_temp_C,soil_moisture_index,aerosol_optical_depth,black_carbon_ugm3,organic_carbon_ugm3,secondary_organic_aerosol,nitrate_ugm3,sulfate_ugm3,ammonium_ugm3,methane_ppm,formaldehyde_ugm3,xylene_ugm3,heavy_metal_index,lead_ngm3,arsenic_ngm3,noise_level_db,light_pollution_index,waste_burning_index,crop_burning_index,diesel_generator_index,two_wheeler_density,power_plant_proximity,AQI
2021,12,25,19,Winter,1,Industrial,21.6,51.1,3.8,2.55,57.8,695.0,3.7,98.0,11.7,131.3,190.9,78.6,38.5,2.78,71.5,,12.03,13.7,1007.1,12.6,0.194,-0.4024,0.5553,-0.0175,-0.5906,-1.0252,1.1503,0.6529,1.6733,0.7397,-0.6639,-0.7464,1.689,-0.7337,0.9166,0.1593,0.1841,-0.8713,-0.2394,1.0358,0.6772,-0.6949,-0.8475,-1.3034,0.111,2.0702,1.5663,0.1256,0.2721,-0.5917,178.6
2023,11,23,22,Autumn,0,Industrial,25.7,77.1,24.1,2.32,113.3,1360.0,6.6,104.0,4.5,231.3,349.9,140.6,64.1,4.64,46.3,10.85,22.25,15.8,1006.1,9.4,-0.0622,0.5328,-0.4713,0.0514,0.5426,1.6591,0.6719,-1.2836,-0.9032,0.5628,0.0955,0.115,1.1362,-0.8517,-0.0381,-1.2077,-0.4292,-0.0332,-1.2269,0.3503,0.6377,0.2359,-2.436,1.0262,0.1948,-0.7299,-1.5558,1.1631,-0.5677,1.607,241.1
2022,8,26,7,Monsoon,0,Industrial,19.6,50.1,10.5,0.2,35.2,415.0,1.0,88.0,4.9,54.1,78.0,33.5,13.7,0.86,86.7,2.33,,12.1,1007.3,14.1,-0.371,-0.8852,0.2726,0.7283,1.1578,-1.2174,1.134,0.1783,-0.5043,0.0447,0.7377,1.2459,0.2005,-0.8085,0.9505,-0.5064,0.2988,1.0288,-0.7057,-0.2531,0.3572,0.5122,0.9307,-0.7887,1.1074,-1.0897,-0.6762,1.5332,1.7638,-1.8206,126.8
2022,4,7,21,Spring,0,Background,25.6,49.6,7.3,5.12,43.3,510.0,4.8,105.0,12.3,117.5,175.3,66.5,34.6,2.3,70.1,5.26,10.65,17.0,1006.5,,-1.922,0.1715,0.9887,-1.8721,0.4646,0.0105,-0.4829,0.3015,0.7799,0.5956,-0.5636,1.1488,0.8155,-0.2279,1.4941,0.3984,0.9875,-0.2742,0.013,-1.1576,-0.215,0.0944,-0.0797,1.1024,-0.2451,-0.6913,-1.0757,1.4184,-0.5758,-0.2804,198.2
2021,7,14,8,Monsoon,0,Traffic,5.0,98.0,1.4,1.68,59.9,717.0,5.9,86.0,1.5,173.5,258.5,99.8,48.0,3.43,53.7,7.72,16.32,1.9,1011.7,10.3,-0.8014,-0.1542,0.4752,-0.7389,0.777,-0.3928,-1.6228,-0.7477,0.4164,-0.0371,-0.0286,-0.4145,0.0014,-2.1039,1.8667,-1.7418,-0.6443,-0.3301,-0.8415,-1.4204,0.3034,-0.1495,0.3809,-1.1805,-0.266,-0.9795,-0.7675,-0.5501,0.025,0.6458,202.2
2023,10,28,11,Autumn,1,Background,29.9,53.9,1.4,0.9,75.3,902.0,3.8,101.0,8.4,184.5,272.4,108.5,53.7,3.73,55.5,8.08,16.85,20.9,1003.1,10.1,2.0402,-0.2639,-1.4865,-0.5502,0.0236,1.0365,0.0301,-0.4315,-0.0458,0.1268,-0.4507,-1.3182,0.2605,-0.6153,-1.5845,0.4873,-0.042,-2.8964,-0.2506,-1.7733,0.3176,-0.167,0.9489,0.6885,1.1838,-0.3863,-0.7439,-2.3814,-0.5341,-0.2482,266.5
2021,7,20,3,Monsoon,0,Industrial,24.9,,0.5,2.83,16.2,203.0,5.6,58.0,6.9,103.8,160.1,61.3,29.1,2.35,,4.79,9.53,15.3,1005.8,12.6,-0.3962,3.1646,1.0557,0.2786,0.069,-1.0373,-1.3455,0.6683,-2.8394,-0.389,-2.2605,0.8399,-0.8174,0.233,1.7691,-0.2701,-1.5838,1.7129,0.5449,-2.0315,0.2504,-1.5027,-0.123,0.2292,0.4207,0.3475,-0.7754,-0.6386,-0.2756,0.041,217.7
2020,10,4,8,Autumn,0,Residential,23.0,67.6,16.1,0.6,44.3,534.0,1.5,87.0,13.1,64.2,92.3,36.5,19.1,1.3,82.3,2.67,5.22,16.2,1006.4,13.8,-0.0529,1.2343,0.0144,-0.418,0.0805,-1.802,-0.0491,-0.0798,-0.0212,0.3072,-0.6477,0.1434,0.7918,0.7161,-0.6865,-0.8527,0.1227,-1.2624,-0.6669,-0.974,0.4399,0.4643,-0.6507,-0.3186,-0.2368,0.8498,-1.9949,0.8887,-1.226,1.2441,173.4
2021,11,25,22,Autumn,1,Industrial,28.0,29.0,7.4,2.37,79.8,953.0,6.2,113.0,9.7,,302.3,116.7,55.6,4.03,57.2,9.19,19.15,16.2,1004.7,9.3,-1.5023,2.6463,-0.5615,-0.6426,-0.8024,1.0243,0.3387,0.1615,0.6855,-0.6667,0.2924,-0.9336,-0.1284,0.6243,0.447,0.6885,-0.2307,0.5686,0.1292,-0.0733,0.5551,-0.3486,-0.438,0.9687,-0.094,-0.9071,-0.3235,-0.6923,-1.2438,0.7896,252.4
2021,2,14,19,Winter,1,Traffic,13.1,29.2,9.9,0.08,41.3,503.0,1.2,119.0,3.5,74.7,111.1,40.7,23.9,1.52,81.1,3.54,7.43,8.4,1009.5,13.0,1.5496,-0.372,-0.4612,-0.3391,2.7474,-0.3229,0.614,-1.6553,0.2697,-0.8808,1.3893,-1.9182,0.7912,-1.0069,0.3364,0.1131,0.2854,1.2785,1.1113,0.0766,-1.2342,0.4167,0.1014,-1.7635,-0.3548,-0.0517,0.1966,-1.2095,-0.5101,0.2378,114.5
